author,title,type,tag,sub-tag
Daniel Dennett,Intuition Pumps,non-fiction,thinking,
Daniel Gordis,Israel,non-fiction,international,middle east
Daniel J. Velleman,How to Prove It: A Structured Approach,non-fiction,mathematics,
Daniel Mason,North Woods,fiction,,
Daniel Susskind,"A World Without Work: Technology, Automation, and How We Should Respond",non-fiction,economics,
"Daron Acemoğlu, Simon Johnson",Power and Progress: Our Thousand-Year Struggle Over Technology and Prosperity,non-fiction,politics,
Daron Acemoglu; James A. Robinson,The Narrow Corridor,non-fiction,politics,
David Crystal,A Little Book of Language,non-fiction,language,
David Deutsch,The Beginning of Infinity,non-fiction,science,
David Eagleman,The Brain,non-fiction,science,cognitive
David Foster Wallace,Everything and More,non-fiction,mathematics,
David Grann,The Lost City of Z: A Tale of Deadly Obsession in the Amazon,non-fiction,biography,general interest
David Harvey,"A Companion to Marx's Capital, Volume 1",non-fiction,politics,
David Harvey,A Brief History of Neoliberalism,non-fiction,politics,
David K.H. Begg,Economics,non-fiction,economics,theory
David Keenan,The Towers The Fields The Transmitters,fiction,,
David Keenan,Xstabeth,fiction,,
David Kynaston,Engines of Privilege: Britain's Private School Problem,non-fiction,history,british
David Kynaston,"Austerity Britain, 1945-51",non-fiction,history,british
David Lavender,California,non-fiction,history,california
David M. Peña-Guzmán,When Animals Dream,non-fiction,science,cognitive
David Romer,Advanced Macroeconomics,non-fiction,economics,theory
David Spiegelhalter,The Art of Statistics: How to Learn from Data,non-fiction,statistics,
Delia Owens,Where the Crawdads Sing,fiction,,
Diarmaid MacCulloch,Christianity,non-fiction,religion,history
Didier Eribon,Returning to Reims,non-fiction,essays,
Domenico Losurdo,Liberalism: A Counter-History,non-fiction,politics,
Don Norman,The Design of Everyday Things,non-fiction,design,
"Don Tapscott, Alex Tapscott","Blockchain Revolution: How the Technology Behind Bitcoin Is Changing Money, Business, and the World",non-fiction,finance,
Donald Barthelme,I Bought a Little City,fiction,,
Donna Meadows,Thinking in Systems,non-fiction,thinking,
Donna Tartt,The Secret History,fiction,,
