author,title,type,tag,sub-tag
Robert O. Paxton,The Anatomy of Fascism,non-fiction,politics,
Robert Penn Warren,All the King’s Men,fiction,,
Robert Pirsig,Zen and the Art of Motorcycle Maintenance,non-fiction,philosophy,
Robert Poole,Peterloo: The English Uprising,non-fiction,history,british
Robert Skidelsky,Keynes: The Return of the Master,non-fiction,economics,monetary
Robert Skidelsky,How Much Is Enough? Money and the Good Life,non-fiction,economics,
Roberto Bolaño,2666,fiction,,
Rodrigo Fresán,The Invented Part,fiction,,
Roger E. Backhouse,The Penguin History of Economics,non-fiction,economics,
Roger H. Davidson et al.,Congress and Its Members,non-fiction,politics,
Roger Lowenstein,Buffett,non-fiction,finance,investing
"Roland, Bolster, and Keyssar",The Way of the Ship: America's Maritime History Reenvisioned,non-fiction,international,maritime
Robert Caro,The Power Broker,non-fiction,biography,politics
Ron Chernow,Alexander Hamilton,non-fiction,biography,politics
Ronan Hession,Leonard and Hungry Paul,fiction,,
Rose-Marie Hagen,Goya,fiction,,
Ross Douthat,Believe,non-fiction,religion,
Rowan Jacobsen,Geography of Oysters,non-fiction,food & drink,oysters
Rudy Rucker,"As Above, So Below: A Novel of Peter Bruegel",fiction,,
Rutger Bregman,Utopia for Realists: How We Can Build the Ideal World,non-fiction,politics,
Ruth Ozeki,The Book of Form and Emptiness,fiction,,
Ryszard Kapuściński,Another Day of Life,non-fiction,reportage,
Sally Rooney,Normal People,fiction,,
Sam Harris,Making Sense,non-fiction,philosophy,
Samuel Beckett,Waiting for Godot,fiction,,
Sathnam Sanghera,Empireland,non-fiction,history,british
Scott Anderson,Fractured Lands,non-fiction,international,conflict
Scott Kupor,Secrets of Sand Hill Road,non-fiction,finance,venture
Seán Hewitt,All Down Darkness Wide,fiction,,
Sebastian Barry,Days Without End,fiction,,
Metrick & Yasuda,Venture Capital and the Finance of Innovation,non-fiction,finance,venture
Sebastian Mallaby,The Power Law,non-fiction,finance,venture
Sebastian Payne,Broken Heartlands: A Journey Through Labour's Lost England,non-fiction,politics,
Seishi Yokomizo,The Devil's Flute Murders,fiction,,
Seishi Yokomizo,The Honjin Murders,fiction,,
Seishi Yokomizo,The Village of Eight Graves,fiction,,
Selby Wynn Schwartz,After Sappho,fiction,,
Silvia Federici,"Caliban and the Witch: Women, the Body and Primitive Accumulation",non-fiction,politics,
Simon & Blume,Mathematics for Economists,non-fiction,mathematics,
Simon Winchester,The Perfectionists,non-fiction,technology,
Sinclair Lewis,It Can’t Happen Here,fiction,,
Sjón,Red Milk,fiction,,
Sjón,The Mark on the Wall and Other Short Fiction,fiction,,
Sjón,The Village of Rest Graves,fiction,,
Sjón,The Shadow of the Raven,fiction,,
Sjón,The Devil’s Eye Murders,fiction,,
Smith (ed.),Smith’s Bible Dictionary,non-fiction,religion,reference
Srećko Horvat,Poetry from the Future: Why a Global Liberation Movement Is Our Civilisation's Last Chance,non-fiction,politics,
Stephanie Kelton,The Deficit Myth,non-fiction,politics,
Stephen D. Krasner,How to Make Love to a Despot,non-fiction,international,
Stephen King,The Shining,fiction,,
Stuart Jeffries,Grand Hotel Abyss,non-fiction,history,intellectual
Stuart Russell,Human Compatible: Artificial Intelligence and the Problem of Control,non-fiction,technology,ai
Sunjeev Sahota,China Room,fiction,,
Susan Sontag,At the Same Time: Essays and Speeches,non-fiction,essays,
Susan Sontag,Against Interpretation and Other Essays,non-fiction,essays,
Susan Sontag,On Photography,non-fiction,essays,
Susan Sontag,In America,fiction,,
Susanna Clarke,Piranesi,fiction,,
Sylvia Plath,The Bell Jar,fiction,,
T. J. Stiles,The First Tycoon,non-fiction,biography,business
T.R. Fehrenbach,Lone Star,non-fiction,history,texas
Taffy Brodesser-Akner,Long Island Compromise,fiction,,
Tarjei Vesaas,The Birds,fiction,,
Taschen (ed.),Design of the 20th Century,non-fiction,design,
Thomas Bernhard,Extinction,fiction,,
Thomas Bernhard,Concrete,fiction,,
Thomas Pakenham,The Scramble for Africa,non-fiction,history,
Thomas Piketty,Capital in the Twenty First Century,non-fiction,economics,
Thomas Pynchon,V.,fiction,,
Thomas Pynchon,Gravity’s Rainbow,fiction,,
Thomas Woods,How the Catholic Church Built Western Civilization,non-fiction,religion,history
Toby Ord,The Precipice,non-fiction,philosophy,ethics
Tom Chivers,Everything is Predictable,non-fiction,statistics,
Tom Holland,Dominion,non-fiction,religion,history
Tom Surgey,How to Drink Wine,non-fiction,food & drink,wine
Toni Morrison,Beloved,fiction,,
Tony Judt,Postwar,non-fiction,history,european
Tony Judt,Thinking the Twentieth Century,non-fiction,history,european
Tony Judt,Reappraisals,non-fiction,history,european
Toshikazu Kawaguchi,Before the Coffee Gets Cold,fiction,,
Trevor Corning,Inside Congress,non-fiction,politics,
Tyler Cowen,Stubborn Attachments,non-fiction,economics,
Umberto Eco,The Name of the Rose,fiction,,
Umberto Eco,How to Travel with a Salmon,non-fiction,essays,
Unknown,Beowulf,fiction,,
Ursula K. Le Guin,The Dispossessed: An Ambiguous Utopia,fiction,,
Ursula K. Le Guin,The Dispossessed,fiction,,
Vannevar Bush,Pieces of the Action,non-fiction,technology,
Vasily Grossman,Life and Fate,fiction,,
Vigdis Hjorth,Long Live the Post Horn!,fiction,,
Virgil,The Aeneid,fiction,,
Virginia Woolf,The Mark on the Wall,fiction,,
Vladimir Nabokov,Pale Fire,fiction,,
W. G. Sebald,Vertigo,fiction,,
W.G. Sebald,Austerlitz,fiction,,
Walt Whitman,Leaves of Grass,fiction,,
Walter Isaacson,Steve Jobs,non-fiction,biography,business
Walter Isaacson,Benjamin Franklin,non-fiction,biography,politics
Walter Lippmann,The Essential Lippmann ,non-fiction,politics,
Wendy  Liu,Abolish Silicon Valley: How to Liberate Technology from Capitalism,non-fiction,politics,
Wesley Morris,The Best American Essays (2024),non-fiction,essays,
Will Durant,The Story of Philosophy,non-fiction,philosophy,history
Will Herberg,Protestant Catholic Jew,non-fiction,religion,
William Dalrymple,The Anarchy,non-fiction,history,british
William Faulkner,Light in August,fiction,,
William Faulkner,The Sound and the Fury,fiction,,
William I. Robinson,The Global Police State,non-fiction,politics,
William MacAskill,What We Owe the Future,non-fiction,philosophy,ethics
William Strunk Jr.,The Elements of Style,non-fiction,creativity,writing
William T. Vollmann,Uncentering the Earth,non-fiction,other,
William Zinsser,On Writing Well,non-fiction,creativity,writing
Wilson Harris,Palace of the Peacock,fiction,,
Witold Rybczynski,The Driving Machine,non-fiction,technology,
Yiyun Li,The Book of Goose,fiction,,
Yōko Ogawa,The Housekeeper and the Professor,fiction,,
Zadie Smith,White Teeth,fiction,,
W. David Marx,Status and Culture,non-fiction,sociology,
W. David Marx,Blank Space,non-fiction,sociology,
David Chang,Eat a Peach,non-fiction,food & drink,memoir
Jim Meehan,Meehan's Bartender Manual,non-fiction,food & drink,recipes
Steve Reddicliffe,The New York Times Essential Book of Cocktails,non-fiction,food & drink,recipes
Jonathan Bartlett,The Cook's Dictionary and Culinary Reference,non-fiction,food & drink,recipes
Jose Pizarro,The Spanish Pantry,non-fiction,food & drink,recipes
Yotam Ottolenghi,Shelf Love,non-fiction,food & drink,recipes
Ixta Belfrage,Mezcla,non-fiction,food & drink,recipes
Ixta Belfrage,FUSÃO,non-fiction,food & drink,recipes
Thuy Diem Pham,Viet Kitchen,non-fiction,food & drink,recipes
Vicky Bennison,Pasta Grannies,non-fiction,food & drink,recipes
Meryl Feintsein,Pasta Every Day,non-fiction,food & drink,recipes
Marcella Hazan,Essentials of Classic Italian Cooking,non-fiction,food & drink,recipes
Margarita Carrillo Arronte,Mexico: The Cookbook,non-fiction,food & drink,recipes
David Zilber and René Redzepi,The Noma Guide to Fermentation,non-fiction,food & drink,recipes
David Nasaw,The Last Million,non-fiction,history,20th century
Paul Auster,Baumgartner,fiction,,
Neil Theise,Notes on Complexity,non-fiction,science,
James Q. Wilson,Bureaucracy,non-fiction,politics,government
Donna Tartt,The Secret History,fiction,,
Timothy Snyder,Black Earth,non-fiction,history,20th century
Joshua Meyrowitz,No Sense of Place,non-fiction,sociology,
Deirdre McCloskey,Economical Writing,non-fiction,creativity,writing
David Riesman,The Lonely Crowd,non-fiction,sociology,
Arundhati Roy,The God of Small Things,fiction,,
Barbara Kingsolver,Demon Copperhead,fiction,,
Jeffrey Eugenides,Middlesex,fiction,,
Alex Ross,The Rest is Noise,non-fiction,history,music
Bianca Bosker,Cork Dork,non-fiction,food & drink,wine
John Berger,About Looking,non-fiction,art,theory
Joan Didion,South and West,non-fiction,essays,
Leigh Phillips and Michael Rozworski,People's Republic of Walmart,non-fiction,business,
Siri Hustvedt,What I Loved,fiction,,
Siri Hustvedt,"Mothers, Fathers, and Others",fiction,,
Claudio Saunt,West of the Revolution,non-fiction,history,american
Kim Stanley Robinson,The High Sierra: A Love Story,non-fiction,travel,
Bertrand Russell,The History of Western Philosophy,non-fiction,philosophy,history
Charles Taylor,A Secular Age,non-fiction,philosophy,
Alison Castle,The Stanley Kubrick Archives,non-fiction,cinema,
Robert Kolker and Nathan Abrams,Kubrick,non-fiction,cinema,
Dan Davies,The Unaccountability Machine,non-fiction,politics,
Lyle Goldstein,Meeting China Halfway,non-fiction,international,china
Morgan Housel,The Psychology of Money,non-fiction,finance,personal
Nick Maggiuli,Just Keep Buying,non-fiction,finance,personal
Nick Maggiuli,The Wealth Ladder,non-fiction,finance,personal
Paulo Coelho,The Alchemist,fiction,,
Friedrich Nietszche,Thus Spake Zarathustra,fiction,,
Stephen Hawking,A Brief History of Time,non-fiction,science,physics
Joseph J. Ellis,American Creation,non-fiction,history,american
Niall Ferguson,Colossus,non-fiction,history,american
W.G. Sebald,Vertigo,fiction,,
Larry McMurtry,Lonesome Dove,fiction,,
Diarmaid MacCulloch,Christianity: The First Three Thousand Years,non-fiction,religion,history
Lawrence Krauss,A Universe From Nothing,non-fiction,science,physics
Gareth Rubin,The Turnglass,fiction,,
Homer,The Iliad,fiction,classics,
Homer,The Odyssey,fiction,classics,
Virgil,The Aeneid,fiction,classics,
Jack E. Davis,Gulf: The Making of an American Sea,non-fiction,international,maritime
Mark De Silva,The Logos,fiction,,
U.S.-China Economic and Security Review Commission,2024 Annual Report to Congress,non-fiction,politics,
Nikos Kazantzakis,Zorba the Greek,fiction,,
Adam Johnson,The Orphan Master's Son,fiction,,
John Williams,Stoner,fiction,,
Patrick Modiano,The Occupation Trilogy,fiction,,
William Faulkner,The Sound and the Fury,fiction,,
